# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Tue Oct 04 13:56:35 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Biomass|w/o CCS,EJ/yr,0,0,0.0254928,0.1049553,0.2608805,0.49211312,0.752758459,1.08996665,1.50124878,1.94273288,2.45614962
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Coal,EJ/yr,0,0,0.0184731,0.1198295,0.3255769,0.67982346,1.108372144,1.64405756,2.25332245,2.85875766,3.5543495
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Coal|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Coal|w/o CCS,EJ/yr,0,0,0.0184731,0.1198295,0.3255769,0.67982346,1.108372144,1.64405756,2.25332245,2.85875766,3.5543495
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Fossil,EJ/yr,0.00960074,0.0111242,0.0497012,0.24940045,0.63071826,1.233077236,1.874066321,2.59346771,3.36742647,4.15969144,5.09471722
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/o CCS,EJ/yr,0.52161474,0.7100572,1.2952451,1.66825395,2.08112436,2.702688076,3.845647507,5.54110011,7.55589602,9.61747318,11.36722242
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Gas,EJ/yr,0.00960074,0.0111242,0.0312281,0.12957095,0.30514136,0.553253776,0.765694177,0.94941015,1.11410402,1.30093378,1.54036772
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Gas|w/o CCS,EJ/yr,0.00960074,0.0111242,0.0312281,0.12957095,0.30514136,0.553253776,0.765694177,0.94941015,1.11410402,1.30093378,1.54036772
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Oil,EJ/yr,0.512014,0.698933,1.264017,1.538683,1.775983,2.1494343,3.07995333,4.59168996,6.441792,8.3165394,9.8268547
GCAM,Ref,Africa_Eastern,Secondary Energy|Gases,EJ/yr,0.00196101,0.00541485,0.05977916,0.1290728,0.24264469,0.4229901,0.67530478,1.02863476,1.48206865,2.0364504,2.6828443
GCAM,Ref,Africa_Eastern,Final Energy,EJ/yr,3.353051413,4.256132154,5.720074525,7.040682336,8.59894063,10.58394032,13.54648675,17.38302396,21.56035557,25.63905635,29.53129675
GCAM,Ref,Africa_Eastern,Final Energy|Electricity,EJ/yr,0.0564174,0.08116145,0.23916132,0.4114431,0.6992081,1.166678739,1.904222882,2.922810963,4.115115711,5.324254826,6.515965234
GCAM,Ref,Africa_Eastern,Final Energy|Gases,EJ/yr,0.00153791,0.00491755,0.029726415,0.069484677,0.132716484,0.227304236,0.35581483,0.525696828,0.741866034,1.012249232,1.336832074
GCAM,Ref,Africa_Eastern,Final Energy|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Final Energy|Hydrogen,EJ/yr,0,0,0.00526377,0.01726441,0.0436252,0.098962108,0.167658576,0.270321562,0.397156541,0.53440482,0.634227248
GCAM,Ref,Africa_Eastern,Final Energy|Industry,EJ/yr,0.714545897,0.83623358,1.680821062,2.510218161,3.58180859,5.08794788,7.202392026,9.69336645,11.97517087,13.69083364,14.85531548
GCAM,Ref,Africa_Eastern,Final Energy|Industry|Electricity,EJ/yr,0.02265804,0.0285127,0.09597658,0.1687595,0.2969077,0.5066951,0.8346506,1.2689211,1.7470383,2.179511,2.545041
GCAM,Ref,Africa_Eastern,Final Energy|Industry|Gases,EJ/yr,0.00153791,0.00491755,0.015692212,0.026499751,0.04033539,0.05381328,0.066430926,0.07576625,0.082634571,0.087963642,0.09024848
GCAM,Ref,Africa_Eastern,Final Energy|Industry|Hydrogen,EJ/yr,0,0,0.00523437,0.01702941,0.0429112,0.0971529,0.1630093,0.259999,0.376693,0.498379,0.578005
