Model,Scenario,Region,ESP Slug,Unit of entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM,No_Paris,Australia_NZ,Primary Energy|Coal|w/o CCS,EJ/yr,2.20964,2.16504,2.45081,2.70964,2.579786433,2.391595785,2.164843441,1.901521808,1.519043061,1.142759098,0.699605598
GCAM,No_Paris,Australia_NZ,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0,0.04073629,0.08489961,0.12079593,0.153538408,0.172930564,0.1687946,0.19442411
GCAM,No_Paris,Australia_NZ,Primary Energy|Gas|w/o CCS,EJ/yr,1.1455,1.36903,1.57741,1.87307,2.23124371,2.51652039,2.47751407,2.297731592,2.224589436,2.2983654,2.82864589
GCAM,No_Paris,Australia_NZ,Primary Energy|Geothermal,EJ/yr,0.0111493,0.0209844,0.03278242,0.05000017,0.05695145,0.08553245,0.10583711,0.11972265,0.13228241,0.14432762,0.1594655
GCAM,No_Paris,Australia_NZ,Primary Energy|Hydro,EJ/yr,0.138895,0.133859,0.145294,0.156728,0.169607,0.18393,0.198253,0.212575,0.226898,0.241221,0.248382
GCAM,No_Paris,Australia_NZ,Primary Energy|Nuclear,EJ/yr,0,0,0,0.001382321,0.00694414,0.02031137,0.034772389,0.049332187,0.066443576,0.08138834,0.09464072
GCAM,No_Paris,Australia_NZ,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,0,0,0.004965537,0.007701736,0.010436095,0.013472582,0.01567779,0.01574394,0.02149975
GCAM,No_Paris,Australia_NZ,Primary Energy|Oil|w/o CCS,EJ/yr,2.12771,2.25013,2.3986829,2.4046705,2.173673463,1.972217264,1.947008905,1.966865418,1.95845221,1.83261306,1.547490332
GCAM,No_Paris,Australia_NZ,Primary Energy|Solar,EJ/yr,0.000284402,0.000997201,0.005146189,0.015437756,0.038998796,0.060593396,0.079275239,0.092761731,0.108437803,0.12713194,0.145905803
GCAM,No_Paris,Australia_NZ,Primary Energy|Wind,EJ/yr,0.00539644,0.0231552,0.037250972,0.06404449,0.095039709,0.163936196,0.23483021,0.300628924,0.379040744,0.453508928,0.54600421
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.000284763,0.000909571,0.001902253,0.00352322,0.005782824,0.008721722,0.014005293
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.00150481,0.0014688,0.001909094,0.005114223,0.009925285,0.015307189,0.02053352,0.02498097,0.029257254,0.031378996,0.028667015
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,0,0.001135125,0.00371439,0.007737097,0.014084285,0.021963958,0.031612959,0.047567
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,0.672518,0.655517,0.7622234,0.82684503,0.80461212,0.75990163,0.72971138,0.6891553,0.55889423,0.42496015,0.26882411
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0,0,0.01901341,0.03946552,0.05542357,0.07051621,0.08098964,0.07670661,0.08841655
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,0.118340101,0.162072203,0.17401774,0.198379798,0.191853273,0.18682346,0.166178407,0.136314033,0.126256184,0.111593248,0.090259152
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0111493,0.0209844,0.03278242,0.05000017,0.05695145,0.08553245,0.10583711,0.11972265,0.13228241,0.14432762,0.1594655
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Hydro,EJ/yr,0.138895,0.133859,0.145294,0.156728,0.169607,0.18393,0.198253,0.212575,0.226898,0.241221,0.248382
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Nuclear,EJ/yr,0,0,0,0.001382321,0.00694414,0.02031137,0.034772389,0.049332187,0.066443576,0.08138834,0.09464072
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr,0.0102421,0.0113868,0.00685342,0.00757989,0.006197095,0.005168095,0.003390283,0.001506635,0.000746153,0.00047857,0.000360568
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Solar,EJ/yr,0.000284402,0.000997201,0.005146189,0.015437756,0.038998796,0.060593396,0.079275239,0.092761731,0.108437803,0.12713194,0.145905803
GCAM,No_Paris,Australia_NZ,Secondary Energy|Electricity|Wind,EJ/yr,0.00539644,0.0231552,0.037250972,0.06404449,0.095039709,0.163936196,0.23483021,0.300628924,0.379040744,0.453508928,0.54600421
GCAM,No_Paris,Australia_NZ,Final Energy|Electricity,EJ/yr,0.84580831,0.89722619,1.040019452,1.186637775,1.268216059,1.388918385,1.500515691,1.585174792,1.622349551,1.641612911,1.689208322
GCAM,No_Paris,Australia_NZ,Final Energy|Industry,EJ/yr,1.97110873,2.0609385,2.30986611,2.540456156,2.61608088,2.66967581,2.66744246,2.614389298,2.570827044,2.49754034,2.419125429
GCAM,No_Paris,Australia_NZ,Final Energy|Residential and Commercial,EJ/yr,0.75383949,0.81555989,0.953675552,1.084876283,1.15971348,1.229407995,1.271456881,1.278646451,1.26378609,1.227865067,1.185816596
GCAM,No_Paris,Australia_NZ,Final Energy|Transportation,EJ/yr,1.501900813,1.589693512,1.727434037,1.82939513,1.958103699,2.114356727,2.218289339,2.295693204,2.34824298,2.373847444,2.417658523
GCAM,No_Paris,Australia_NZ,Final Energy|Transportation|Electricity,EJ/yr,0.01280606,0.01409089,0.017479112,0.023856155,0.031922379,0.041875065,0.054220991,0.068788862,0.084953571,0.103473031,0.123107481
GCAM,No_Paris,Australia_NZ,Final Energy|Transportation|Freight,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Australia_NZ,Final Energy|Transportation|Gases,EJ/yr,0.00196737,0.00293014,0.022499367,0.064182251,0.118228865,0.185202342,0.234737919,0.280072105,0.318457102,0.351940718,0.380366616
GCAM,No_Paris,Australia_NZ,Final Energy|Transportation|Hydrogen,EJ/yr,0,0,0.001289652,0.008064291,0.017681335,0.029150669,0.041861788,0.05508071,0.06704578,0.077948275,0.088792258
GCAM,No_Paris,Australia_NZ,Final Energy|Transportation|Liquids,EJ/yr,1.481560313,1.567482202,1.686165906,1.733292433,1.79027112,1.858128651,1.887468641,1.891751527,1.877786527,1.84048542,1.825392168
GCAM,No_Paris,Australia_NZ,Final Energy|Transportation|Passenger,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Australia_NZ,Emissions|CO2,Mt CO2/yr,432.1757663,546.9975281,233.6736596,380.8909964,434.7313831,446.0926651,424.0998503,399.0737506,361.8485065,326.984842,304.0410837
GCAM,No_Paris,Australia_NZ,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,87.93803854,92.85967563,101.5550534,108.7819034,102.1892509,97.56782988,89.44345755,79.85965343,75.61279821,68.38019844,58.25390641
GCAM,No_Paris,Australia_NZ,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,12.35131381,13.20088794,14.81155214,16.13722057,16.34023293,16.05332008,14.91198805,13.41314404,12.52626702,11.38654211,9.772626461
GCAM,No_Paris,Australia_NZ,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,107.9893265,114.1337846,123.2468514,128.869149,135.735179,143.9403653,148.2781922,150.5198901,151.411618,150.4968104,150.9168826
GCAM,No_Paris,Australia_NZ,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,211.5210138,213.8763392,237.2340789,249.008614,231.0799579,207.0365442,187.4379173,166.2600116,128.1520447,91.98201628,50.32795233
GCAM,No_Paris,Australia_NZ,Emissions|CO2|Land Use,Mt CO2/yr,7.275656513,106.2252458,-255.4784811,-147.4958972,-81.25508904,-49.66921439,-42.57276346,-29.08311361,-21.00046814,-13.29457336,-3.497201752
GCAM,No_Paris,Australia_NZ,Emissions|BC,Mt BC/yr,0.181024892,0.206712583,0.189129065,0.180933237,0.176130141,0.173483417,0.171694868,0.170294348,0.169396499,0.168789104,0.168347973
GCAM,No_Paris,Australia_NZ,Emissions|CH4,Mt CH4/yr,7.124527059,7.969395015,7.165865463,7.706209315,7.051535796,7.057937159,7.133697941,7.094397428,7.151168701,8.559594134,9.335977539
GCAM,No_Paris,Australia_NZ,Emissions|CO,Mt CO/yr,14.28883349,30.23548433,29.01737506,28.45801808,28.2427919,28.13516459,28.03672542,27.9330088,27.86620199,27.87972883,27.80936139
GCAM,No_Paris,Australia_NZ,Emissions|F-Gases,Mt CO2-equiv/yr,8.20105253,8.871587046,6.93859954,7.714432806,6.256471634,5.481073958,5.410738434,5.281614183,5.166202124,4.929821471,4.564237151
GCAM,No_Paris,Australia_NZ,Emissions|N2O,kt N2O/yr,57.6236486,106.8429209,107.8178389,108.7096524,108.245511,107.775217,107.0677932,105.892183,104.4201836,102.9940065,101.3766265
GCAM,No_Paris,Australia_NZ,Emissions|NOx,Mt NO2/yr,1.837800779,2.504079481,2.001752668,1.80198394,1.658257662,1.565180281,1.487787108,1.428118366,1.381647989,1.3426242,1.300978418
GCAM,No_Paris,Australia_NZ,Emissions|OC,Mt OC/yr,1.066853781,1.247503099,1.215162231,1.196037237,1.181812804,1.172246812,1.167187658,1.163004541,1.160401268,1.158952919,1.157028544
GCAM,No_Paris,Australia_NZ,Emissions|Sulfur,Mt SO2/yr,2.878506439,2.971759022,2.83475039,2.889548192,2.818238793,2.798313844,2.761126176,2.693701238,2.644293676,2.581833819,2.503394993
GCAM,No_Paris,Australia_NZ,Land Cover|Cropland,million Ha/yr,51.91655745,42.79836502,45.316036,48.17100461,50.81172578,52.84430928,53.8206848,54.81892994,55.48736376,55.83909716,56.6366111
GCAM,No_Paris,Australia_NZ,Land Cover|Forest,million Ha/yr,26.27889456,28.06338011,28.62561233,29.17143142,29.961785,30.53996875,30.81383724,30.90814363,30.85950608,30.7052955,30.49545788
GCAM,No_Paris,Australia_NZ,Land Cover|Pasture,million Ha/yr,405.246697,362.9213894,361.8718473,360.6155228,359.2392496,358.1753504,357.6323177,357.1002143,356.7607659,356.5765703,356.1839699
GCAM,No_Paris,Australia_NZ,Price|Carbon,US$2005/tCO2,0,0,0,0,14.55544964,22.32427255,26.83898018,35.54276564,43.33149818,51.00404727,63.06537273
GCAM,No_Paris,Australia_NZ,Temperature|Global Mean,degrees C,0.771346,0.853134,1.04532,1.28954,1.58806,1.89943,2.21577,2.53415,2.85224,3.1639,3.47718
GCAM,No_Paris,Brazil,GDP|MER,billion US$2005/yr,866.69796,1038.88194,1346.93244,1708.4538,2073.5742,2520.6942,3078.2142,3907.7046,5103.3504,6539.1714,8061.684
GCAM,No_Paris,Brazil,Population,million,184.998,194.435,214.024,230.726,244.062,254.444,261.134,265.402,266.917,265.156,261.08
GCAM,No_Paris,Brazil,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.34709701,1.13981874,1.8426588,2.37830337,2.92408236,3.54280975,4.5238609
GCAM,No_Paris,Brazil,Primary Energy|Biomass|w/o CCS,EJ/yr,2.353744,2.8166712,3.2705963,3.8945144,4.64223239,5.23069156,5.5360286,5.68894293,5.53458164,5.35581859,5.32990155
GCAM,No_Paris,Brazil,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0,0.206169191,0.518204476,0.750435562,0.898052731,1.056456438,1.229609724,1.42535586
GCAM,No_Paris,Brazil,Primary Energy|Coal|w/o CCS,EJ/yr,0.542924,0.606886,1.08677,1.94028,1.950260809,1.996335524,1.910934438,2.001377269,2.070723562,2.112280276,2.09465414
GCAM,No_Paris,Brazil,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0,0.05392445,0.16804574,0.32209352,0.531487778,0.80154982,1.08712801,1.39801326
GCAM,No_Paris,Brazil,Primary Energy|Gas|w/o CCS,EJ/yr,0.700262,0.963435,2.03021,3.36157,4.56163555,6.08079426,6.70058648,6.936792222,7.48978018,8.30406199,9.26558674
GCAM,No_Paris,Brazil,Primary Energy|Geothermal,EJ/yr,0,0,0.01094595,0.03293629,0.05774218,0.104468394,0.17060551,0.25566193,0.33987003,0.4025678,0.42689995
GCAM,No_Paris,Brazil,Primary Energy|Hydro,EJ/yr,1.21485,1.45184,1.49977,1.5477,1.61397,1.69859,1.78321,1.86783,1.95245,2.03707,2.07938
GCAM,No_Paris,Brazil,Primary Energy|Nuclear,EJ/yr,0.0354779,0.0522827,0.050290396,0.052902916,0.053143266,0.070309866,0.110167406,0.174375125,0.26603052,0.3668007,0.4721553
GCAM,No_Paris,Brazil,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,0,0,0.0953587,0.2143026,0.3375886,0.4738896,0.5953245,0.613099,0.6202213
GCAM,No_Paris,Brazil,Primary Energy|Oil|w/o CCS,EJ/yr,3.935927,4.661719,6.507717,7.02021,6.4057963,5.6761774,5.7972514,6.4424704,7.3223655,7.873791,7.747609124
GCAM,No_Paris,Brazil,Primary Energy|Solar,EJ/yr,0,0,0.005747526,0.019129325,0.056821677,0.124987232,0.23356535,0.404711165,0.627303814,0.865014827,1.10848401
GCAM,No_Paris,Brazil,Primary Energy|Wind,EJ/yr,0.000334799,0.00783718,0.032426382,0.067636671,0.10011692,0.170189471,0.309178699,0.556978563,0.886095619,1.234580392,1.52884446
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.00373608,0.01348577,0.028301,0.04830808,0.07268544,0.09696623,0.11439812
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.0489274,0.113382,0.2173586,0.29909676,0.32791363,0.36399717,0.42019677,0.48589784,0.47340827,0.44105252,0.40619712
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,0,0.000581611,0.002823298,0.007063369,0.014290704,0.026411333,0.044779385,0.072085584
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,0.0386711,0.0408167,0.1430551,0.23155337,0.26069306,0.29790726,0.35947142,0.45051531,0.45962039,0.46937012,0.48733615
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0,0,0.02204032,0.079029,0.16851213,0.29900462,0.4754156,0.6673713,0.8773781
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,0.067723,0.1313097,0.492961587,0.818362561,0.949105726,1.122615164,1.162825323,1.12462774,1.25063982,1.40070928,1.4209707
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Geothermal,EJ/yr,0,0,0.01094595,0.03293629,0.05774218,0.104468394,0.17060551,0.25566193,0.33987003,0.4025678,0.42689995
GCAM,No_Paris,Brazil,Secondary Energy|Electricity|Hydro,EJ/yr,1.21485,1.45184,1.49977,1.5477,1.61397,1.69859,1.78321,1.86783,1.95245,2.03707,2.07938
