# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Mon Sep 12 10:00:56 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,Paris,Africa_Eastern,Secondary Energy|Liquids|Fossil,EJ/yr,0.00960074,0.0111242,0.0539693,0.19113975,0.39890443,0.705004966,0.95849044,1.166111912,1.318260106,1.45671236,1.702004734
GCAM,Paris,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr,0,0,0,0.0146736,0.04165629,0.09039702,0.143383785,0.187076321,0.204049339,0.188461613,0.159740582
GCAM,Paris,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/o CCS,EJ/yr,0.52161474,0.7100572,1.3138172,1.68316575,2.08460676,2.774747376,3.93140734,5.51207053,7.34223731,9.11237542,10.55769285
GCAM,Paris,Africa_Eastern,Secondary Energy|Liquids|Gas,EJ/yr,0.00960074,0.0111242,0.0334842,0.12895575,0.29456476,0.546645076,0.75732095,0.92644853,1.06543001,1.22679722,1.52784335
GCAM,Paris,Africa_Eastern,Secondary Energy|Liquids|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris,Africa_Eastern,Secondary Energy|Liquids|Gas|w/o CCS,EJ/yr,0.00960074,0.0111242,0.0334842,0.12895575,0.29456476,0.546645076,0.75732095,0.92644853,1.06543001,1.22679722,1.52784335
GCAM,Paris,Africa_Eastern,Secondary Energy|Liquids|Oil,EJ/yr,0.512014,0.698933,1.280333,1.55421,1.790042,2.2281023,3.17408639,4.585622,6.2768073,7.8855782,9.0298495
GCAM,Paris,Africa_Eastern,Secondary Energy|Gases,EJ/yr,0.00196101,0.00541485,0.062229879,0.134949769,0.246510076,0.432153108,0.68789602,1.04047143,1.47746658,2.0023451,2.6135427
GCAM,Paris,Africa_Eastern,Final Energy,EJ/yr,3.353051213,4.256132153,5.677447334,6.90825868,8.337528973,10.12273921,12.61457317,15.75018371,19.20264904,22.53121258,25.48012918
GCAM,Paris,Africa_Eastern,Final Energy|Electricity,EJ/yr,0.0564174,0.08116145,0.243954851,0.408797102,0.697645159,1.205804282,2.012613203,3.14340654,4.430922382,5.703641919,6.973524445
