Model,Scenario,Region,ESP Slug,Unit of entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Gas w/o CCS,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Oil w/ CCS,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Oil w/o CCS,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Solar,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Wind,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Biomass w/ CCS,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Biomass w/o CCS,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Nuclear,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Geothermal,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Coal w/ CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Coal w/o CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Gas w/ CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Gas w/o CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Oil w/ CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Oil w/o CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Solar,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Wind,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Biomass w/ CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Biomass w/o CCS,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Nuclear,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Hydro,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Generation by technology|Geothermal,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Iron and Steel,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Chemicals,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Cement,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Mining,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Refineries,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Waste,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Agriculture,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Emissions by sub-sector|Natural Gas,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Outputs|Total steel generated,million metric tons/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Outputs|Total cement generated,million metric tons/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Intensities|Emissions per ton of steel generated,g CO2e/metric ton,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Industry|Intensities|Emissions per ton of cement generated,g CO2e/metric ton,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Buildings|,,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Transportation|,,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Transportation|Energy use by freight/passenger|freight,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Transportation|Energy use by freight/passenger|passenger,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Transportation|Energy use by fuel|Electricity,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Transportation|Energy use by fuel|Gases,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Transportation|Energy use by fuel|Hydrogen,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Transportation|Energy use by fuel|Liquids,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,"Agriculture, Land Use and Forestry|Land Cover|Cropland",million Ha/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,"Agriculture, Land Use and Forestry|Land Cover|Forest",million Ha/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,"Agriculture, Land Use and Forestry|Land Cover|Pasture",million Ha/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,"Agriculture, Land Use and Forestry|Land Cover|Other",million Ha/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Policy|Carbon price,US$2005/tCO2,0,0,0,12.04529236,30.44951182,44.12750727,55.19184545,70.18353818,83.66977636,95.88390545,113.7227891
GCAM,GCAM_Paris,Argentina,Technology|,,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Financial|,,,,,,,,,,,,
